Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Larung,Ayu Utami,Saman (#2),,"Buku ini adalah kisah lanjutan novel Saman. Di penghujung masa Orde Baru. Saman telah tinggal di New York sebagai pelarian politik. Ia bertemu lagi dengan empat sahabat yang dulu membantu ia kabur dari Indonesia—Shakuntala si pemberontak, Cok si binal, serta Yasmin dan Laila yang diam-diam mengagumi dia.  Kini mereka memiliki misi baru: membantu tiga aktivis mahasiswa kiri melarikan diri dari kejaran rezim militer. Misi ini dibantu oleh seorang pemuda misterius dengan karakter gelap: Larung. Akankah misi itu berhasil? Ataukah Larung justru menyeret mereka ke dalam kegelapan?","Novels, Fiction, Indonesian Literature, Literature, Drama, Feminism, Historical Fiction","264 pages, Paperback","November 1, 2001 by KPG (Kepustakaan Populer Gramedia)",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406105694i/1337751.jpg,,,Indonesian
Tentang Kamu,Tere Liye,,,"Terima kasih untuk kesempatan mengenalmu, itu adalah salah satu anugerah terbesar hidupku. Cinta memang tidak perlu ditemukan, cintalah yang akan menemukan kita. Terima kasih. Nasihat lama itu benar sekali, aku tidak akan menangis karena sesuatu telah berakhir, tapi aku akan tersenyum karena sesuatu itu pernah terjadi. Masa lalu. Rasa sakit. Masa depan. Mimpi-mimpi. Semua akan berlalu, seperti sungai yang mengalir. Maka biarlah hidupku mengalir seperti sungai kehidupan.  ***  Atas dasar pekerjaan, Zaman Zulkarnaen harus menelusuri hidup seorang kliennya, perempuan pemegang paspor Inggris yang barusan meninggal dan mewariskan harta yang jumlahnya bisa menyaingi kekayaan Ratu Inggris. Tiga negara, lima kota, beribu luka. Hingga akhirnya Zaman mengerti, bahwa ini bukan sekadar perkara mengerti jalan hidup seorang klien, melainkan pengejawantahan prinsip kuat di tengah cobaan yang terus mendera.  Tentang Kamu adalah novel terbaru Tere Liye. Sebuah karya yang tak hanya akan membawa pembacanya menyelami sebuah petualangan yang seru dan sarat emosi, tapi juga memberikan nilai positif sehingga membuat hidup serasa lebih patut disyukuri.","Novels, Fiction, Romance, Indonesian Literature, Slice Of Life, Drama, Adventure","524 pages, Paperback","October 27, 2016 by Pt. Putra Bangsa",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1475659479i/32467509.jpg,,9786020822341,Indonesian
Pasung Jiwa,Okky Madasari,,,"Apakah kehendak bebas benar-benar ada? Apakah manusia bebas benar-benar ada?  Okky Madasari mengemukakan pertanyaan-pertanyaan besar dari manusia dan kemanusiaan dalam novel ini.  Melalui dua tokoh utama, Sasana dan Jaka Wani, dihadirkan pergulatan manusia dalam mencari kebebasan dan melepaskan diri dari segala kungkungan. Mulai dari kungkungan tubuh dan pikiran, kungkungan tradisi dan keluarga, kungkungan norma dan agama, hingga dominasi ekonomi dan belenggu kekuasaan.","Fiction, Novels, Indonesian Literature, Psychology, Adult, Queer, Literature","328 pages, Paperback","May 1, 2013 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366166399i/17826264.jpg,,9789792296693 (ISBN10: 9792296697),Indonesian
O,Eka Kurniawan,,,Tentang seekor monyet yang ingin menikah dengan Kaisar Dangdut.,"Fiction, Novels, Indonesian Literature, Adult, Fantasy, Contemporary, Magical Realism","470 pages, Paperback","February 22, 2016 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453791897i/27808997.jpg,,9786020325590 (ISBN10: 0000942103),Indonesian
Raden Mandasia si Pencuri Daging Sapi,Yusi Avianto Pareanom,,,"SUNGU LEMBU menjalani hidup membawa dendam. Raden Mandasia menjalani hari-hari memikirkan penyelamatan Kerajaan Gilingwesi. Keduanya bertemu di rumah dadu Nyai Manggis di Kelapa. Sungu Lembu mengerti bahwa Raden Mandasia yang memiliki kegemaran ganjil mencuri daging sapi adalah pembuka jalan bagi rencananya. Maka, ia pun menyanggupi ketika Raden Mandasia mengajaknya menempuh perjalanan menuju Kerajaan Gerbang Agung.  Berdua, mereka tergulung dalam pengalaman-pengalaman mendebarkan: bertarung melawan lanun di lautan, ikut menyelamatkan pembawa wahyu, bertemu dengan juru masak menyebalkan dan hartawan dengan selera makan yang menakjubkan, singgah di desa penghasil kain celup yang melarang penyebutan warna, berlomba melawan maut di gurun, mengenakan kulit sida-sida, mencari cara menjumpai Putri Tabassum Sang Permata Gerbang Agung yang konon tak pernah berkaca—cermin-cermin di istananya bakal langsung pecah berkeping-keping karena tak sanggup menahan kecantikannya, dan akhirnya terlibat dalam perang besar yang menghadirkan hujan mayat belasan ribu dari langit.  Meminjam berbagai khazanah cerita dari masa-masa yang berlainan, Yusi Avianto Pareanom menyuguhkan dongeng kontemporer yang memantik tawa, tangis, dan maki makian Anda dalam waktu berdekatan—mungkin bersamaan.","Fiction, Fantasy, Novels, Historical Fiction, Indonesian Literature, Adventure, Adult","450 pages, Paperback","First published March 9, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1458300453i/29546259.jpg,,,
Hujan Bulan Juni,Sapardi Djoko Damono,Trilogi Hujan Bulan Juni (#1),,"Bagaimana mungkin seseorang memiliki keinginan untuk mengurai kembali benang yang tak terkirakan jumlahnya dalam selembar sapu tangan yang telah ditenunnya sendiri.  Bagaimana mungkin seseorang bisa mendadak terbebaskan dari jaringan benang yang susun-bersusun, silang-menyilang, timpa-menimpa dengan rapi di selembar saputangan yang sudah bertahun-tahun lamanya ditenun dengan sabar oleh jari-jarinya sendiri oleh kesunyiannya sendiri oleh ketabahannya sendiri oleh tarikan dan hembusan napasnya sendiri oleh rintik waktu dalam benaknya sendiri oleh kerinduannya sendiri oleh penghayatannya sendiri tentang hubungan-hubungan pelik antara perempuan dan laki-laki yang tinggal di sebuah ruangan kedap suara yang bernama kasih sayang.  Bagaimana mungkin.","Novels, Romance, Fiction, Indonesian Literature, Poetry, Literature, Drama","144 pages, Paperback","June 18, 2015 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434455898i/25736858.jpg,,9786020318431,Indonesian
Matahari,Tere Liye,Bumi (#3),,"Namanya Ali, 15 tahun, kelas X. Jika saja orangtuanya mengizinkan, seharusnya dia sudah duduk di tingkat akhir ilmu fisika program doktor di universitas ternama. Ali tidak menyukai sekolahnya, guru-gurunya, teman-teman sekelasnya. Semua membosankan baginya. Tapi sejak dia mengetahui ada yang aneh pada diriku dan Seli, teman sekelasnya, hidupnya yang membosankan berubah seru. Aku bisa menghilang, dan Seli bisa mengeluarkan petir. Ali sendiri punya rahasia kecil. Dia bisa berubah menjadi beruang raksasa. Kami bertiga kemudian bertualang ke tempat-tempat menakjubkan. Namanya Ali. Dia tahu sejak dulu dunia ini tidak sesederhana yang dilihat orang. Dan di atas segalanya, dia akhirnya tahu persahabatan adalah hal yang paling utama.","Fantasy, Fiction, Novels, Adventure, Indonesian Literature, Young Adult, Science Fiction","390 pages, Paperback","July 25, 2016 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1467429925i/30827710.jpg,"Raib, Seli, Ali",9786020332116 (ISBN10: 602033211X),Indonesian
Gadis Kretek,Ratih Kumala,,"Jakarta (Indonesia), Kudus (Indonesia), Magelang (Indonesia), Kota M (Indonesia)","Pak Raja sekarat. Dalam menanti ajal, ia memanggil satu nama perempuan yang bukan istrinya, Jeng Yah. Tiga anaknya, pewaris Kretek Djagad Raja, dimakan gundah. Sang Ibu pun terbakar cemburu terlebih karena permintaan terakhir suaminya ingin bertemu Jeng Yah. Maka berpacu dengan malaikat maut, Lebas, Karim, dan Tegar, pergi ke pelosok Jawa untuk mencari Jeng Yah, sebelum ajal menjemput sang Ayah.  Perjalanan itu bagai napak tilas bisnis dan rahasia keluarga. Lebas, Karim dan Tegar bertemu dengan buruh bathil (pelinting) tua dan menguak asal-usul Kretek Djagad Raja hingga menjadi kretek nomor 1 di Indonesia. Lebih dari itu, ketiganya juga mengetahui kisah cinta ayah mereka dengan Jeng Yah, yang ternyata adalah pemilik Kretek Gadis, kretek lokal Kota M yang terkenal pada zamannya.  Apakah Lebas, Karim dan Tegar akhirnya berhasil menemukan Jeng Yah?  tidak sekadar bercerita tentang cinta dan pencarian jati diri para tokohnya. Dengan latar Kota M, Kudus, Jakarta, dari periode penjajahan Belanda hingga kemerdekaan, akan membawa pembaca berkenalan dengan perkembangan industri kretek di Indonesia. Kaya akan wangi tembakau. Sarat dengan aroma cinta.","Historical Fiction, Fiction, Novels, Indonesian Literature, Romance, Drama, Family","284 pages, Paperback","February 23, 2012 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329385732i/13487229.jpg,,9789792281415,Indonesian
Senopati Pamungkas,Arswendo Atmowiloto,,,,Indonesian Literature,Paperback,"January 1, 1987 by Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428994902i/1578152.jpg,,(ISBN10: 9794031372),Indonesian
Rara Mendut: Sebuah Trilogi,Y.B. Mangunwijaya,Trilogi Roro Mendut (#1-3),,"Rara Mendut, budak rampasan yang menolak diperistri oleh Tumenggung Wiraguna demi cintanya kepada Pranacitra. Dibesarkan di kampung nelayan pantai utara Jawa, ia tumbuh menjadi gadis yang trengginas dan tak pernah ragu menyuarakan isi pikirannya. Sosoknya dianggap nyebal tatanan di lingkungan istana di mana perempuan diharuskan bersikap serba halus dan serba patuh. Tetapi ia tak gentar. Baginya, lebih baik menyambut ajal di ujung keris Sang Tumenggung daripada dipaksa melayani nafsu panglima tua itu.  , sahabat Rara Mendut yang membantunya menerobos benteng Keraton Mataram dan melarikan diri dari kejaran Tumenggung Wiraguna. Setelah kematian Rara Mendut dan Pranacitra, Genduk Duku menjadi saksi perseteruan diam-diam antara Wiraguna dan Pangeran Aria Mataram, putra mahkota yang kelak bergelar Sunan Amangkurat I dan sesungguhnya juga jatuh hati kepada Rara Mendut - perempuan rampasan yang oleh ayahnya dihadiahkan kepada panglimanya yang berjasa.  , anak Genduk Duku dipilih menjadi anggota pasukan pengawal Sunan Amangkurat I oleh Ibu Suri. Lusi Lindri menjalani kehidupan penuh warna di balik dinding-dinding istana yang menyimpan ribuan rahasia dan intrik-intrik jahat. Sebagai istri perwira mata-mata Mataram, ia tahu banyak... Bahkan terlalu banyak... Semakin lama nuraninya semakin terusik melihat kezaliman junjungannya. Tiada pilihan lain! Bulat sudah tekadnya, baginya lebih baik mati sebagai pemberontak penentang kezaliman daripada hidup nyaman bergelimang kemewahan.","Novels, Indonesian Literature, Fiction, Historical Fiction, Historical, Romance, Cultural","806 pages, Hardcover","April 1, 2008 by PT Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404789346i/3060904.jpg,"Lusi Lindri, Rara Mendut",9789792236170 (ISBN10: 9792236171),Indonesian
Tanah Tabu,Anindita S. Thayf,,"Indonesia, Papua (Indonesia)","*Pemenang I Sayembara Novel DKJ 2008*  """"Di ujung sabar ada perlawanan. Di batas nafsu ada kehancuran. Dan air mata hanyalah untuk yang lemah.""""  Mabel percaya takdir akan berakhir buruk jika kita tidak menjaga langkah, apalagi bagi perempuan seperti dirinya. Tapi Mace, sang menantu, belum bisa melupakan trauma pada masa lalu. Sementara Leksi, cucu kesayangan Mabel, masih suka semaunya sendiri. Beruntung ada ada Pum dan Kwee yang bisa diandalkan. Bersama keduanya, si kecil Leksi berlajar menjalani hidup yang keras di atas Tanah Tabu.  Dan, pada kita semua, Mabel berpesan, """"Kita harus tetap kuat.... Jangan menyerah. Terus berjuang demi anak-cucu kita. Mereka harus mendapatkan kehidupan yang lebih baik.""""  Anindita tidak menulis sebuah novel etnografi dengan semangat eksotisme kolonial, melainkan dengan perspektif emik yang penuh empati. Melalui novel ini saya berkenalan dengan Leksi, seorang bocah Papua, yang dengan kenaifannya justru menunjukkan kritisisme cerdas, juga Mabel yang menjadi eksemplar seorang perempuan hebat tanpa perlu ribet dan genit dengan retorika la aktivis perempuan menengah-kota. -Kris Budiman, Kritikus Sastra, Juri Sayembara Novel DKJ 2008-  Sosok Mabel dalam novel ini menampilkan perempuan yang melawan diskriminasi dalam konteks sosio kultural dan politik masyarakatnya. --Linda Christanty, Penulis dan Jurnalis, Juri Sayembara Novel DKJ 2008-  Tanah Tabu menarik bukan saja karena penguasaan atas materi penulisan yang baik, maupun penyusunan komposisinya, tetapi juga urgensi masalah, yang membuatnya sangat penting. --Seno Gumira Ajidarma, Cerpenis, Novelis dan Wartawan, Juri Sayembara Novel DKJ 2008-","Novels, Indonesian Literature, Fiction, Historical Fiction, Drama, Feminism, Literature","237 pages, Paperback","May 1, 2009 by PT Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1242291924i/6468957.jpg,"Mabel, Leksi, Pum, Kwee",9789792245677 (ISBN10: 9792245677),Indonesian
Kitab Omong Kosong,Seno Gumira Ajidarma,,,"""""Tolong sampaikan agar cerita ini tidak usah dibaca karena membuang waktu, pikiran dan tenaga. Sungguh hanya suatu omong kosong belaka. Mohon maaf sekali lagi untuk permintaan tolong ini. Maaf, beribu-ribu mohon maaf."""" Togog  Cerita ini memang ditulis oleh Togog, yang merasa minder dan terasingkan dalam sebuah dunia yang sangat memuja Semar. Berkisah tentang malapetaka serbuan balatentara Sri Rama yang menyapu anak benua, dan menghadirkan pemandangan bencana. Inilah kisah Satya dan Maneka, rakyat yang menjadi korban, yang menjelajah dalam pencarian Walmiki penulis Ramayana, sembari berlayar di samudera cerita. Inilah saat kematian Sang Hanoman, wanara agung yang ditakdirkan berumur panjang, untuk menjaga kebudayaan. Kenapa Togog menganjurkan cerita ini tidak dibaca? Nah!","Novels, Indonesian Literature, Fiction, Fantasy, Philosophy, Literature, Romance","632 pages, Paperback","July 1, 2004 by Bentang Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361525109i/1481902.jpg,,,Indonesian
Ziarah: Sebuah Novel,Iwan Simatupang,,,dahsyat. wajib baca. novel yang sarat hikmah kehidupan.,"Novels, Fiction, Indonesian Literature, Literature, Classics, Magical Realism, Slice Of Life",Paperback,"January 1, 2007 by Djambatan",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1211984471i/1506342.jpg,,(ISBN10: 9794285412),Indonesian
Negeri Senja,Seno Gumira Ajidarma,,,"Daftar Isi:  Prolog Matahari Tidak Pernah Terbenam di Negeri Senja  Bagian 1 Penunggang Kuda dari Selatan Peristiwa di Kedai Penginapan Para Leluhur Rumah Bordil di Padang Pasir Perempuan dari Balik Cahaya  Bagian 2 Komplotan Pisau Belati Usaha Pembunuhan Tirana Tirana, Perempuan Penguasa yang Buta Kaum Cendekiawan dalam Kegelapan Suatu Ketika di pasar Penangkapan Tokoh Perlawanan Penjara Gerakan Bawah Tanah Proklamasi Partai Hitam  Bagian 3 Pengembara di tepi Sungai Seorang Pembicara Para Pelajar Sekolah Bebas Mazhab Pasar Malam  Bagian 4 Kisah Cinta Tirana, Jika Memang Benar Adanya Perempuang dengan Anting-anting di Puting Kiri Perempuan dengan Rajah Ular yang Membelit Tubuhnya Perempuan di Bawah Menara Antara Alina dan Maneka  Bagian 5 Pemberontokan Usaha Pembunuhan Tirana II Pembantaian Para Kekasih yang Terbunuh Khotbah di Kuil Matahari  Epilog Ketika Pengembara itu Pergi, Matahari Belum juga Terbenam di Negeri Senja","Indonesian Literature, Novels, Fiction, Literature, Roman","243 pages, Paperback","August 1, 2003 by Kepustakaan Populer Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1209810811i/1025848.jpg,,9789799023964 (ISBN10: 9799023963),Indonesian
Tan: Sebuah Novel,Hendri Teja,Novel Trilogi Tan Malaka (#1),,"Ia lahir dengan nama Ibrahim pada masa paceklik. Tepat ketika bundanya melahirkannya, seorang lelaki tua misterius mendatangi ayahnya, Sutan Rasyad, dan berkata bahwa kelak putranya akan membawa perubahan besar di dunia. Pada usia yang masih muda, gelar datuk pamuncak telah disandangnya. Gairahnya yang besar akan pengetahuan mendorongnya berlayar ke Nederland. Tercampak dari tanah adat adalah konsekuensi yang harus ditanggungnya. Di negeri penjajah ia hidup fakir dan mengalami diskriminasi rasial karena kulitnya cokelat. Semangat revolusioner yang membakar Eropa mengubahnya menjadi seorang pejuang kemerdekaan. Ditemani Fenny van de Snijder, perempuan kulit putih yang dicintainya, ia melawan penjajahan melalui tulisan. Di sana ia lebih dikenal dengan nama pena: Tan Malaka!  Dari kota-kota di Nederland, Tan lantas bergerilya ke Sumatera dan Jawa, mengobarkan semangat perlawanan terhadap kaum penjajah. Ia harus berhadapan dengan para kapitalis perkebunan, sindikat pengusaha gula, dan Gubernur Jenderal Hindia. Dalam kejaran polisi intelijen pemerintah kolonial, Tan bergerak di bawah tanah untuk mencegah malapetaka pertama dalam sejarah Hindia abad ke-20.  Tan adalah sebuah novel sejarah yang mengungkap sisik-melik kehidupan Tan Malaka, salah satu sosok terpenting dalam kemerdekaan Republik Indonesia, bapak bangsa yang terlupakan.   Novel ini merupakan pengembangan dari naskah """"Memoar Alang-alang"""" karya penulis, salah satu pemenang unggulan Sayembara Menulis Novel Dewan Kesenian Jakarta tahun 2010.",Novels,"427 pages, Paperback","February 11, 2016 by Javanica",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453222641i/28604340.jpg,,9786026799067,Indonesian
Sengsara Membawa Nikmat,Tulis Sutan Sati,,,"Midun tidak habis pikir. Bagaimana mungkin Kacak-penghulu yang kaya raya, bangsawan tinggi kemenakan raja di kampungnya menaruh iri dan dendam kepadanya, yang hanya seorang rakyat biasa? Midun merasa tidak melakukan perbuatan yang salah, menyinggung atau menyakiti orang lain. Ia tidak menyadari, justru kehalusan budi pekerti dan kerendahan hatinya menyebabkan ia begitu disayangi dan dibela oleh orang-orang sekampung, sehingga menerbitkan rasa cemburu dan benci Kacak.  Tak habis-habisnya Kacak mencari akal untuk menjebak, menyiksa, bahkan menghabisi nyawa orang yang tak disenanginya. Niatnya tak pernah sampai karena penjagaan ayah dan guru silat Midun. Tetapi akhirnya upaya Kacak berhasil juga, Midun dihukum penjara karena kesalahan yang sengaja ditimpakan kepadanya.  Menjadi orang hukuman benar-benar suatu hal yang tidak pernah dibayangkan oleh Midun. Walaupun demikan, ia mencoba menjalani dengan tabah dan berani. Hari-hari di dalam penjara terasa berat, bahkan masa depan pun tidak jelas. Apa yang dapat ia lakukan untuk memperbaiki nasib? Midun memilih untuk tidak menyerah.  Bagaimana selanjutnya perjuangan Midun untuk bertahan hidup? Dapatkah ia mengubah nasibnya yang kurang beruntung? Dan bagaimana akhir permusuhannya dengan Kacak?","Indonesian Literature, Novels, Fiction, Literature, Classics, Drama, Romance","192 pages, Paperback","January 1, 2004 by Balai Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1273301350i/1592678.jpg,,,Indonesian
Pada Sebuah Kapal,Nh. Dini,,,"Setelah tunangannya (Saputro) tewas dalam kecelakaan pesawat terbang, akhirnya Sri menikah dengan Charles Vincent. Pasangan ini kemudian bermukim di Kobe, Jepang. Meskipun sudah memperoleh seorang anak dari diplomat Perancis itu, Sri sesungguhnya tidak merasa bahagia.  Tidak dinyana, dalam perjalanan liburan dari Saigon menuju Marseille, Sri menemukan kembali kemesraan dan kelembutan yang telah sekian lama didambakannya itu pada Michael Dubanton, komandan kapal yang sudah beristri dan mempunyai dua orang anak. Sri yang tidak mencintai suaminya sejak semula itu pun menjalin kasih dengan Michael yang kecewa dengan isterinya (Nicole)!  Nh. Dini mengungkapkan kisah Sri-Michel yang terjadi pada sebuah kapal dengan goresan amat halus dan memikat.","Indonesian Literature, Fiction, Romance, Novels, Literature, Classics, Drama","351 pages, Paperback","January 1, 1985 by PT. Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489719571i/1337885.jpg,,(ISBN10: 9796555867),Indonesian
Pengakuan Pariyem,Linus Suryadi,,Indonesia,"Pariyem, nama saya // Lahir di Wonosari Gunung Kidul Pulau Jawa // Tapi kerja di kota pedalaman Ngayogyakarta // Umur saya 25 tahun sekarang // - tapi nuwun sewu // tanggal lahir saya lupa // Tapi saya ingat betul weton saya: // Wukunya Kuningan // di bawah lindungan bethara Indra // Jumat Wage waktunya // ketika hari bangun fajar.  Pengakuan Pariyem adalah prosa liris pertama yang lahir dari tangan Linus Suryadi Ag. dan menjadi inspirasi bagaimana kebudayaan Jawa masuk ke dalam khazanah sastra Indonesia modern.","Indonesian Literature, Novels, Literature, Fiction, Poetry","244 pages, Paperback","January 1, 1981 by Sinar Harapan",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464093590i/1763363.jpg,Pariyem/iyem,,Indonesian
Manjali dan Cakrabirawa,Ayu Utami,Bilangan Fu (#2),,"Setelah melahirkan tiga novel bestseller, yakni Bilangan Fu, Saman, dan Larung, Ayu Utami mengeluarkan novel keempat berjudul Manjali dan Cakrabirawa . Novel ini merupakan kelanjutan novel Bilangan Fu  Serial ini mengisahkan petualangan Marja, Yuda, dan Parang Jati menghadapi berbagai misteri lokal di Nusantara. Sementara Bilangan Fu mengangkat tema alam gaib di kawasan Pacitan, kini Manjali dan Cakrabirawa menyingkap misteri yang tersembunyi di salah satu candi di sekitar perbatasan Jawa Tengah dan Jawa Timur dan kaitannya dengan pembunuhan massal di fajar kekuasaan Orde Baru.","Novels, Fiction, Indonesian Literature, Romance, Literature, Mystery, Spirituality","276 pages, Paperback","July 6, 2010 by Kepustakaan Populer Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1278850731i/8567054.jpg,,9789799102607 (ISBN10: 979910260X),Indonesian
Perburuan,Pramoedya Ananta Toer,,Indonesia,"Novel pendek PAT – ditulis semasa ia di dalam penjara – memaksa kita mengingat-ngingat terus bahwa kebebasan tidak bisa dianggap gampang saja datang dengan sendirinya. Perburuan memiliki segala kewenangan yang sah dari seorang yang mampu bertahan, dan mengandung sebanyak-banyak kebenaran semampu kita menulisnya  Lawrence Thornton , penulis ”Imagining Argentina”","Fiction, Indonesian Literature, Novels, Historical Fiction, Banned Books, Classics, Politics","173 pages, Paperback","January 1, 1994 by Hasta Mitra",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464886334i/963121.jpg,,9789798659003 (ISBN10: 9798659007),Indonesian
Badai Pasti Berlalu,Marga T.,,,"Siska patah hati. Tunangannya membatalkan perkawinan mereka dan menikah dengan gadis lain. Kehilangan semangat hidup, Siska keluar dari pekerjaannya dan hidup menyendiri.  Leo, teman karib abang Siska, mendekatinya. Sebenarnya Leo yang dikenal sebagai Don Juan mempunyai motif tersendiri untuk membangkitkan semangat hidup Siska yang sudah terlelap dalam apati dan beku bagaikan gunung es. Tetapi�  Muncul pula Helmi, seniman pegawai nite-club, seorang pemuda yang lincah, perayu, dan licik.  Badai demi badai yang hitam pekat melanda hati Siska. Kapankah badai dalam hidupnya akan berlalu?  ***  Novel klasik Indonesia yang sudah berkali-kali dicetak ulang, sudah terjual lebih dari 80.000 eksemplar. Sudah difilmkan di tahun 1974 dengan bintang Christine Hakim, Roy Marten, dan sutradara Teguh Karya. Pernah disinetronkan dengan bintang Dian Nitami dan Ari Wibowo. Tahun ini difilmkan ulang dengan bintang Vino Bastian, Raihaanun, dan Winky Wiryawan. Film re-make ini akan diputar mulai tanggal 14 Februari 2007.","Romance, Indonesian Literature, Novels, Fiction, Contemporary Romance, Young Adult, Chick Lit","480 pages, Paperback","January 1, 1998 by Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1491885638i/1761088.jpg,"Siska, Leo, Helmi",9789796860012,Indonesian
Critical Eleven,Ika Natassa,,,"Dalam dunia penerbangan, dikenal istilah critical eleven, sebelas menit paling kritis di dalam pesawat—tiga menit setelah take off dan delapan menit sebelum landing—karena secara statistik delapan puluh persen kecelakaan pesawat umumnya terjadi dalam rentang waktu sebelas menit itu. It's when the aircraft is most vulnerable to any danger.  In a way, it's kinda the same with meeting people. Tiga menit pertama kritis sifatnya karena saat itulah kesan pertama terbentuk, lalu ada delapan menit sebelum berpisah—delapan menit ketika senyum, tindak tanduk, dan ekspresi wajah orang tersebut jelas bercerita apakah itu akan jadi awal sesuatu ataukah justru menjadi perpisahan.  Ale dan Anya pertama kali bertemu dalam penerbangan Jakarta-Sydney. Tiga menit pertama Anya terpikat, tujuh jam berikutnya mereka duduk bersebelahan dan saling mengenal lewat percakapan serta tawa, dan delapan menit sebelum berpisah Ale yakin dia menginginkan Anya.  Kini, lima tahun setelah perkenalan itu, Ale dan Anya dihadapkan pada satu tragedi besar yang membuat mereka mempertanyakan pilihan-pilihan yang mereka ambil, termasuk keputusan pada sebelas menit paling penting dalam pertemuan pertama mereka.  Diceritakan bergantian dari sudut pandang Ale dan Anya, setiap babnya merupakan kepingan puzzle yang membuat kita jatuh cinta atau benci kepada karakter-karakternya, atau justru keduanya.","Romance, Fiction, Novels, Indonesian Literature, Adult, Family, Contemporary","344 pages, Paperback","August 10, 2015 by PT Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434459829i/25737077.jpg,,9786020318929 (ISBN10: 6020318923),Indonesian
Salah Pilih,Nur St. Iskandar,,Indonesia,"Sejak kecil Asri dan Asnah dibesarkan layaknya saudara kandung. Ibu Asri yang telah menjada mengasuh dan menyayangi Asnah-anak angkatnya- seperti putrinya sendiri. Kedua """"bersaudara""""itu saling mengasihi, sampai tiba waktunya mereka beranjak dewasa. Salahkah jika cinta Asnah kepada sang kakak berubah menjadi cinta kepada seorang kekasih?Perasaan rendah diri sebagai seorang anak angkat sekaligus orang yang berutang budi kepada keluarga Asri mendorongnya untuk menyimpan isi hatinya rapat-rapat, bahkan mendukung Asri memenuhi harapan ibunya untuk segera berumah tangga. Lagipula, pernikahan sesuku tidak diperbolehkan menurut adat mereka. Asri menjatuhkan pilihannya kepada seorang gadis cantik dari keluarga kaya dan terpandang. Ketika acara lamaran diselenggarakan, Asnah menutupi kepedihan hatinya dengan bersandiwara di depan Asri dan calon istrinya, Saniah. Meskipun demikian Saniah merasa iri dan cemburu kepada Asnah. Ia melampiaskan kebenciannya kepada gadis itu. Apakah Asri tidak memiliki rasa sedikitpun terhadap Asnah?Akankah perneikahan Asri dan Saniah tetap dilangsungkan? Bagaimana kelanjutan nasib Asnah yang memendam cinta kepada kakaknya sendiri? Dan bagaimanakah akhir kisah ketiganya?","Novels, Indonesian Literature, Romance, Classics, Fiction","262 pages, Paperback","January 1, 2006 by Balai Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1204131214i/2875890.jpg,,(ISBN10: 9794071781),Indonesian
Moga Bunda Disayang Allah,Tere Liye,,,"Diangkat dari salah satu kisah nyata paling mengharukan, ditulis kembali dari salah satu film terbaik sepanjang masa.","Novels, Fiction, Indonesian Literature, Family, Drama, Adult, Childrens","308 pages, Paperback","January 1, 2007 by Republika",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303475843i/1446506.jpg,,9789793210797 (ISBN10: 9793210796),Indonesian
