Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Things Fall Apart,Chinua Achebe,The African Trilogy (#1),"Africa, Nigeria","A simple story of a """"strong man"""" whose life is dominated by fear and anger, Things Fall Apart is written with remarkable economy and subtle irony. Uniquely and richly African, at the same time it reveals Achebe's keen awareness of the human qualities common to men of all times and places.","Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria","215 pages, Paperback","October 1, 1994 by Anchor Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1708114013i/37781.jpg,"Okonkwo, Ikemefuna, Ezinma, Nwoye",,English
Steppenwolf,Hermann Hesse,,,"Steppenwolf is a poetical self-portrait of a man who felt himself to be half-human and half-wolf. This Faust-like and magical story is evidence of Hesse's searching philosophy and extraordinary sense of humanity as he tells of the humanization of a middle-aged misanthrope. Yet his novel can also be seen as a plea for rigorous self-examination and an indictment of the intellectual hypocrisy of the period. As Hesse himself remarked, """"Of all my books Steppenwolf is the one that was more often and more violently misunderstood than any of the others"""".","Fiction, Classics, Philosophy, German Literature, Literature, Novels, Germany","256 pages, Paperback","January 1, 1999 by Penguin",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389332672i/16631.jpg,"Maria, Harry Haller, Pablo Soler, Hermine",9780140282580 (ISBN10: 0140282580),English
How the Grinch Stole Christmas!,Dr. Seuss,,"Who-ville, Mount Crumpit","""""The Grinch hated Christmas! The whole Christmas season! Now, please don't ask why. No one quite knows the reason.""""  Dr. Seuss's small-hearted Grinch ranks right up there with Scrooge when it comes to the crankiest, scowling holiday grumps of all time.  For 53 years, the Grinch has lived in a cave on the side of a mountain, looming above the Whos in Whoville. The noisy holiday preparations and infernal singing of the happy little citizens below annoy him to no end. The Grinch decides this frivolous merriment must stop. His idea is to don a Santa outfit, strap heavy antlers on his poor, quivering dog Max, construct a makeshift sleigh, head down to Whoville, and strip the chafingly cheerful Whos of their Yuletide glee once and for all.  Looking quite out of place and very disturbing in his makeshift Santa get-up, the Grinch slithers down chimneys with empty bags and stealing the Whos' presents, their food, even the logs from their humble Who-fires. He takes the ramshackle sleigh to Mt. Crumpit to dump it and waits to hear the sobs of the Whos when they wake up and discover the trappings of Christmas have disappeared. Imagine the Whos' dismay when they discover the evil-doings of Grinch in his anti-Santa guise. But what is that sound? It's not sobbing, but singing! Children simultaneously adore and fear this triumphant, twisted Seussian testimonial to the undaunted cheerfulness of the Whos, the transcendent nature of joy, and of course, the growth potential of a heart that's two sizes too small.  This holiday classic is perfect for reading aloud to your favorite little Whos.","Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy","64 pages, Hardcover","October 4, 2004 by Harper Collins Children's Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327958149i/113946.jpg,"Cindy Lou Who, Grinch, Max",9780007173044 (ISBN10: 0007173040),English
The Shining,Stephen King,The Shining (#1),"Colorado (United States), The United States of America","Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery","497 pages, Paperback","July 1, 1980 by New English Library (Hodder & Stoughton)",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588.jpg,"Wendy Torrance, Danny Torrance, Dick Halloran, Horace Derwent, Delberg Grady, Jack Torrance",9780450040184 (ISBN10: 0450040186),English
The Prophet,Kahlil Gibran,,Orphalese,"Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.  The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.","Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature","127 pages, Paperback","April 13, 2003 by Rupa & Co",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547.jpg,"Al Mustafa, Al Mitra",9780001000391 (ISBN10: 000100039X),English
As I Lay Dying,William Faulkner,,"Mississippi (United States), The United States of America, Yoknapatawpha County, Mississippi (United States)","As I Lay Dying is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members -- including Addie herself -- as well as others, the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, As I Lay Dying is a true 20th-century classic.  This edition reproduces the corrected text of As I Lay Dying as established in 1985 by Noel Polk.","Classics, Fiction, Literature, Novels, American, School, Southern Gothic","288 pages, Paperback","January 30, 1991 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451810782i/77013.jpg,"Cash Bundren, Anse Bundren, Addie Bundren, Darl Bundren, Jewel Bundren, Dewey Dell, Vardaman Bundren, Vernon Tull, Cora Tull, Peabody",,English
The Plague,Albert Camus,,"Oran (Algeria), Algeria, North Africa","The Plague is a novel by Albert Camus, published in 1947.  It tells the story from the point of view of a narrator of a plague sweeping the French Algerian city of Oran. The narrator remains unknown until the start of the last chapter, chapter 5 of part 5. The novel presents a snapshot of life in Oran as seen through the author's distinctive absurdist point of view.  The book tells a gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion.  The Plague is considered an existentialist classic despite Camus' objection to the label. The novel stresses the powerlessness of the individual characters to affect their destinies. The narrative tone is similar to Kafka's, especially in The Trial, whose individual sentences potentially have multiple meanings, the material often pointedly resonating as stark allegory of phenomenal consciousness and the human condition.","Fiction, Classics, Philosophy, France, Literature, French Literature, Novels","308 pages, Paperback","March 1, 1991 by Vintage International",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503362434i/11989.jpg,"Raoul, Dr Bernard Rieux, Father Paneloux, Joseph Grand, Raymond Rambert, Jean Tarrou, Cottard, M. Othon, Garcia, Gonzales, Dr. Castel, Dr. Richard, Jacques Othon, The Prefect, Mme. Rieux, Asthma Patient, Marcel",,English
Goodnight Moon,Margaret Wise Brown,Over the Moon (#2),,"In a great green room, tucked away in bed, is a little bunny. """"Goodnight room, goodnight moon."""" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one -- the little bunny says goodnight.  In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.","Childrens, Picture Books, Classics, Fiction, Poetry, Kids, Animals","32 pages, Hardcover","January 23, 2007 by HarperCollins",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg,,9780060775858 (ISBN10: 0060775858),English
The Waste Land,T.S. Eliot,,,"The Waste Land, first published in 1922, is often regarded as T.S. Eliot's masterpiece, as well as one of the most important poems of the 20th century and a central work of modernist poetry.  The work, divided in 5 sections, juxtaposes the legend of the Holy Grail and the Fisher King, with a snapshot of early twentieth-century British society. In contemporary times, it is often read published within The Waste Land and Other Poems and has come to be Eliot's most popular poem.  was a poet, essayist, publisher, playwright, literary critic and editor. Born in 1888 in St. Louis (MO, USA), he is considered one of the 20th century's major poets, and a central figure in English-language Modernist poetry. wrote Edmund Wilson in In 1948, Eliot was awarded the Nobel Price","Poetry, Classics, Fiction, Literature, 20th Century, School, American","288 pages, Paperback","January 1, 2001 by W.W. Norton & Company",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597549396i/34080.jpg,,9780393974997 (ISBN10: 0393974995),English
Peter Pan,J.M. Barrie,Peter Pan,"London, England (, 1911), Neverland (J.M. Barrie) (United Kingdom)","This Blampied edition is considered to be a first edition that was rereleased as a fund raiser for the great Oromond street hospital for sick children in London. this edition is beautifully illustrated with 29 FULL-PAGE ILLUSTRATIONS!!! Considered by many art critics to be the most beautifully illustrated version of Peter Pan and Wendy, there are even 16 COLOR PLATES!!! by celebrated artist, EDMUND BLAMPIED.","Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Middle Grade","176 pages, Hardcover","October 1, 2003 by Henry Holt and Co.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337714526i/34268.jpg,"Peter Pan (J.M. Barrie), The Twins, John Darling (J.M. Barrie), Michael Darling (J.M. Barrie), James Hook, Smee (J.M. Barrie), Nibs, Tootles, Slightly, Curly, Tinker Bell (J.M. Barrie), Wendy Darling (J.M. Barrie)",9780805072457 (ISBN10: 0805072454),English
The Thorn Birds,Colleen McCullough,,"Australia, Vatican City (Italy), New Zealand, Outback (Australia)","The Thorn Birds is a robust, romantic saga of a singular family, the Clearys. It begins in the early part of the 20th century, when Paddy Cleary moves his wife, Fiona, and their seven children to Drogheda, the vast Australian sheep station owned by his autocratic and childless older sister, and it ends more than half a century later, when the only survivor of the third generation, the brilliant actress Justine O'Neill, sets a course of life and love halfway around the world from her roots.  The central figures in this enthralling story are the indomitable Meggie, the only Cleary daughter, and the one man she truly loves, the stunningly handsome and ambitious priest Ralph de Bricassart. Ralph's course moves him a long way indeed, from a remote Outback parish to the halls of the Vatican, and Meggie's except for a brief and miserable marriage elsewhere, is fixed to the Drogheda that is part of her bones - but distance does not dim their feelings though it shapes their lives.  Wonderful characters people this book, strong and gentle, Paddy, hiding a private memory, dutiful Fiona, holding back love because it once betrayed her, violent, tormented Frank, and the other hardworking Cleary sons who give the boundless lands of Drogheda the energy and devotion most men save for women, Meggie, Ralph, and Meggie's children, Justine and Dane. And the land itself, stark, relentless in its demands, brilliant in its flowering, prey to gigantic cycles of drought and flood, rich when nature is bountiful, surreal like no other place on earth.  Alternate Cover Edition ISBN 0380018179 (ISBN13: 9780380018178)","Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Novels","692 pages, Mass Market Paperback","January 1, 2002 by Avon Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412.jpg,"Ralph de Bricassart, Meghann ""Meggie"" Cleary, Luke O'Neill, Fiona ""Fee"" Cleary, Padraic ""Paddy"" Cleary, Francis ""Frank"" Cleary, Dane O'Neill, Justine O'Neill, Mary Elizabeth Cleary Carson, Rainer ""Rain"" Moerling Hartheim, Luddie Mueller, Anne Mueller, Archbishop (later Cardinal) Vittorio di Contini-Verchese, Bob Cleary, Jack Cleary, Hughie Cleary, Stuart ""Stu"" Cleary, James and Patrick ""Jims and Patsy"" Cleary,
Show more",,English
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,,,"The only English translation authorized by Aleksandr Solzhenitsyn  First published in the Soviet journal Novy Mir in 1962, One Day in the Life of Ivan Denisovich stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, One Day in the Life of Ivan Denisovich is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as """"a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""""--Harrison Salisbury  This unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available, and fully captures the power and beauty of the original Russian.","Fiction, Classics, Russia, Historical Fiction, Russian Literature, Literature, Novels","182 pages, Paperback","First published November 1, 1962",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574794164i/17125.jpg,,,
Roots: The Saga of an American Family,Alex Haley,,,"When he was a boy in Henning, Tennessee, Alex Haley's grandmother used to tell him stories about their family—stories that went back to her grandparents, and their grandparents, down through the generations all the way to a man she called """"the African."""" She said he had lived across the ocean near what he called the """"Kamby Bolongo"""" and had been out in the forest one day chopping wood to make a drum when he was set upon by four men, beaten, chained and dragged aboard a slave ship bound for Colonial America.  Still vividly remembering the stories after he grew up and became a writer, Haley began to search for documentation that might authenticate the narrative. It took ten years and a half a million miles of travel across three continents to find it, but finally, in an astonishing feat of genealogical detective work, he discovered not only the name of """"the African""""—Kunta Kinte—but the precise location of Juffure, the very village in The Gambia, West Africa, from which he was abducted in 1767 at the age of sixteen and taken on the to Maryland and sold to a Virginia planter.  Haley has talked in Juffure with his own African sixth cousins. On September 29, 1967, he stood on the dock in Annapolis where his great-great-great-great-grandfather was taken ashore on September 29, 1767. Now he has written the monumental two-century drama of Kunta Kinte and the six generations who came after him—slaves and freedmen, farmers and blacksmiths, lumber mill workers and Pullman porters, lawyers and architects—and one author.  But Haley has done more than recapture the history of his own family. As the first black American writer to trace his origins back to their roots, he has told the story of 25,000,000 Americans of African descent. He has rediscovered for an entire people a rich cultural heritage that slavery took away from them, along with their names and their identities. But speaks, finally, not just to blacks, or to whites, but to all people and all races everywhere, for the story it tells is one of the most eloquent testimonials ever written to the indomitability of the human spirit.","Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race","888 pages, Mass Market Paperback","First published August 17, 1976",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018.jpg,,,
Outlander,Diana Gabaldon,"Outlander (#1), La saga di Claire Randall (#1), נוכרייה (#1)","Lallybroch, Scotland (United Kingdom, 1743), Scottish Highlands (, 1743), Inverness, Scotland (, 1743), Scotland (, 1743)","The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743.  Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","850 pages, Mass Market Paperback","July 26, 2005 by Dell Publishing Company",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,"Jamie Fraser, Ian Murray, Claire Randall Fraser, Jonathan Randall, Dougal MacKenzie, Colum MacKenzie, Geillis Duncan, Jenny Murray, Frank Randall, Laoghaire MacKenzie, Murtagh Fraser",9780440242949 (ISBN10: 0440242940),English
Matilda,Roald Dahl,,United Kingdom,"“The Trunchbull” is no match for Matilda!  Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...  For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""""The"""") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.  was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of and many more brilliant stories. He remains the World's No. 1 Storyteller.","Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor","240 pages, Paperback","June 1, 1998 by Puffin",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg,"Matilda Wormwood, Miss Honey, Miss Trunchbull",,English
I Know Why the Caged Bird Sings,Maya Angelou,,,"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.  Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.  Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.  Poetic and powerful, will touch hearts and change minds for as long as people read.","Nonfiction, Classics, Memoir, Biography, Autobiography, Poetry, Feminism","289 pages, Paperback","First published January 1, 1969",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214.jpg,,,
Shōgun,James Clavell,"Asian Saga: Chronological Order (#1), Asian Saga: Publication Order (#3)","Ajiro (Japan, 1600), Tokyo (Japan), Osaka (Japan)","Alternate Cover for ISBN: 0440178002  A bold English adventurer. An invincible Japanese warlord. A beautiful woman torn between two ways of life. All brought together in an extraordinary saga aflame with passion, conflict, ambition, and the struggle for power.  Here is the world-famous novel of Japan that is the earliest book in James Clavell’s masterly Asian saga. Set in the year 1600, it tells the story of a bold English pilot whose ship was blown ashore in Japan, where he encountered two people who were to change his life: a warlord with his own quest for power, and a beautiful interpreter torn between two ways of life and two ways of love.  The principal figures are John Blackthorne, whose dream it is to be the first Englishman to circumnavigate the globe, to wrest control of the trade between Japan and China from Portuguese, and to return home a man of wealth and position, Toranaga, the most powerful feudal lord in Japan, who strives and schemes to seize ultimate power by becoming Shogun—the Supreme Military Dictator—and to unite the warring samurai fiefdoms under his own masterly and farsighted leadership, and the Lady Mariko, a Catholic convert whose conflicting loyalties to the Church and her country are compounded when she falls in love with Blackthorne, the barbarian intruder.  In dramatizing how a Westerner, the representative man of his time, comes to be altered by his exposure to an alien culture, Mr. Clavell provides a spellbinding depiction of a nation seething with violence and intrigue as it moves from the medieval world to the modern.","Historical Fiction, Fiction, Japan, Historical, Classics, Adventure, Literature","1152 pages, Paperback","February 19, 2009 by Dell",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397228842i/402093.jpg,"John Blackthorne, Toranaga, Mariko, Jabu, Buntaró, Hiromacu, Martin Alvito, Jaemon, Išido, Ochiba",,English
A Fine Balance,Rohinton Mistry,,"India (, 1975), Bombay (India, 1975), South Asia, Mumbai (India)","With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India.  The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers--a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village--will be thrust together, forced to share one cramped apartment and an uncertain future.  As the characters move from distrust to friendship and from friendship to love, creates an enduring panorama of the human spirit in an inhuman state.","Fiction, Historical Fiction, India, Indian Literature, Literary Fiction, Historical, Canada","603 pages, Paperback","January 1, 1997 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551173390i/5211.jpg,"Maneck Kohlah, Omprakash Darji, Ishvar Darji, Dina Dalal, Rustom Dalal, Nusswan Shroff, Vasantrao Valmik, Thakur Dharamsi, Ashraf Chacha, Rajaram, Shankar, Beggar Master",9781400030651 (ISBN10: 140003065X),English
Stranger in a Strange Land,Robert A. Heinlein,Stranger in a Strange Land (#1),,"NAME: Valentine Michael Smith ANCESTRY: Human ORIGIN: Mars  Valentine Michael Smith is a human being raised on Mars, newly returned to Earth. Among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love.","Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Novels, Speculative Fiction","525 pages, Paperback","October 1, 1991 by Ace",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg,"Valentine Michael Smith, Jubal Harshaw, Gillian Boardman, Ben Caxton",,English
Midnight’s Children,Salman Rushdie,,"India, Pakistan, Kashmir","Saleem Sinai is born at the stroke of midnight on August 15, 1947, the very moment of India’s independence. Greeted by fireworks displays, cheering crowds, and Prime Minister Nehru himself, Saleem grows up to learn the ominous consequences of this coincidence. His every act is mirrored and magnified in events that sway the course of national affairs, his health and well-being are inextricably bound to those of his nation, his life is inseparable, at times indistinguishable, from the history of his country. Perhaps most remarkable are the telepathic powers linking him with India’s 1,000 other “midnight’s children,” all born in that initial hour and endowed with magical gifts.  This novel is at once a fascinating family saga and an astonishing evocation of a vast land and its people–a brilliant incarnation of the universal human comedy. Twenty-five years after its publication, Midnight’ s Children stands apart as both an epochal work of fiction and a brilliant performance by one of the great literary voices of our time.","Fiction, Classics, Magical Realism, India, Historical Fiction, Fantasy, Literature","647 pages, Paperback","May 1, 1995 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673724335i/14836.jpg,"Saleem Sinai, Jawaharlal Nehru, Reginald Dyer, Aadam Aziz, Naseem Ghani, Amina Sinai, Mumtaz Aziz, Ahmed Sinai, Emerald Aziz, Nadir Khan, Padma Mangroli, Tai, Maggiore Zulfikar, Mian Abdullah, Rani of Cooch Naheen, Lifafa Das, Shri Ramram Seth, Mustapha Kemal, S. P. Butt, William Methwold, Wee Willie Winkie, Vanita, Mary Pereira, Joseph D'Costa, Doctor Narlikar, Hanif Aziz, Sonny Ibrahim, Homi Catrack, Lila Sabarmati, , , , , , , , , , , , , , , , , ,
Show more",9780099578512 (ISBN10: 0099578514),English
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,,"According to the Nice and Accurate Prophecies of Agnes Nutter - the world's only totally reliable guide to the future - the world will end on a Saturday. Next Saturday, in fact. Just after tea...  People have been predicting the end of the world almost from its very beginning, so it’s only natural to be sceptical when a new date is set for Judgement Day. This time though, the armies of Good and Evil really do appear to be massing. The four Bikers of the Apocalypse are hitting the road. But both the angels and demons – well, one fast-living demon and a somewhat fussy angel – would quite like the Rapture not to happen.  And someone seems to have misplaced the Antichrist…","Fantasy, Fiction, Humor, Audiobook, Comedy, Urban Fantasy, Science Fiction Fantasy","491 pages, Mass Market Paperback","First published May 10, 1990",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067.jpg,,,
The Wind-Up Bird Chronicle,Haruki Murakami,ねじまき鳥クロニクル (#1-3),"Japan, Tokyo (Japan)","Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II.  In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds himself looking for his wife as well in a netherworld that lies beneath the placid surface of Tokyo. As these searches intersect, Okada encounters a bizarre group of allies and antagonists: a psychic prostitute, a malevolent yet mediagenic politician, a cheerfully morbid sixteen-year-old-girl, and an aging war veteran who has been permanently changed by the hideous things he witnessed during Japan's forgotten campaign in Manchuria.  Gripping, prophetic, suffused with comedy and menace, is a tour de force equal in scope to the masterpieces of Mishima and Pynchon.","Fiction, Magical Realism, Fantasy, Japanese Literature, Contemporary, Novels, Literature","607 pages, Paperback","January 1, 1997 by Knopf",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327872639i/11275.jpg,"Toru Okada, Kumiko Okada, Noboru Wataya, Malta Kano, May Kasahara, Creta Kano, Tokutaro Mamiya, Nutmeg Akasaka, Cinnamon Akasaka, Boris Gromov, Ushikawa",9780965341981 (ISBN10: 0965341984),English
Infinite Jest,David Foster Wallace,,"Massachusetts (United States), Enfield Tennis Academy, Ennet House, Tucson, Arizona (United States), Massachusetts Institute of Technology (MIT) (United States), Boston, Massachusetts (United States)","A gargantuan, mind-altering tragi-comedy about the Pursuit of Happiness in America.  Set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores essential questions about what entertainment is and why it has come to so dominate our lives, about how our desire for entertainment affects our need to connect with other people, and about what the pleasures we choose say about who we are.  Equal parts philosophical quest and screwball comedy, bends every rule of fiction without sacrificing for a moment its own entertainment value. It is an exuberant, uniquely American exploration of the passions that make us human—and one of those rare books that renew the idea of what a novel can do.","Fiction, Classics, Literature, Novels, Contemporary, Humor, Literary Fiction","1088 pages, Paperback","January 1, 2005 by Back Bay Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1446876799i/6759.jpg,"Hal Incandenza, Joelle Van Dyne, Michael Pemulis, Mario Incandenza, Ken Erdedy, Avril Incandenza, Orin Incandenza, Randy Lenz, Ortho Stice, Tiny Ewell, Poor Tony Krause, Clenette Henderson, Remy Marathe, Hugh Steeply, Pat Montesian, Ann Kittenplan, Trevor Axford, LaMont Chu, Geoffrey Day, Gerhardt Schtitt, Ted Schacht, Dr. James Orin Incandenza, Katherine Ann Gompert, Dr. Charles Tavis, Mildred L. Bonk, Harriet Bonk-Green, , , , ,
Show more",,English
The Screwtape Letters,C.S. Lewis,,,"A Masterpiece of Satire on Hell’s Latest Novelties and Heaven’s Unanswerable Answer  C.S. Lewis’s The Screwtape Letters has entertained and enlightened readers the world over with its sly and ironic portrayal of human life and foibles from the unique vantage point of Screwtape, a highly placed assistant to “Our Father Below.” At once wildly comic, deadly serious, and strikingly original, C.S. Lewis gives us the correspondence of the wordly-wise devil to his nephew Wormwood, a novice demon in charge of securing the damnation of an ordinary young man. The Screwtape Letters is the most engaging account of temptation—and triumph over it—ever written. ","Fiction, Christian, Classics, Religion, Christianity, Fantasy, Theology","222 pages, Kindle Edition","May 28, 2009 by HarperCollins e-books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1476379778i/8130077.jpg,"Wormwood, The Patient, Screwtape",,English
Man’s Search for Meaning,Viktor E. Frankl,,,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America, it continues to inspire us all to find significance in the very act of living.","Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Classics","165 pages, Paperback","June 1, 2006 by Beacon Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069.jpg,,9780807014295 (ISBN10: 080701429X),English
